model,seed,max_iters,run_tag_prefix,reaction_ropinn_loss,reaction_ropinn_rmae,reaction_ropinn_rmse,reaction_resff_loss,reaction_resff_rmae,reaction_resff_rmse,reaction_promotion_loss_pct,reaction_promotion_rmae_pct,reaction_promotion_rmse_pct,win_reaction,reaction_metrics_path,wave_ropinn_loss,wave_ropinn_rmae,wave_ropinn_rmse,wave_resff_loss,wave_resff_rmae,wave_resff_rmse,wave_promotion_loss_pct,wave_promotion_rmae_pct,wave_promotion_rmse_pct,win_wave,wave_metrics_path,win_all_selected
PINN,0,1000,table1rw,4.7e-05,0.056,0.095,1.0055e-06,0.0025728986,0.0062386567,97.86063829787234,95.40553821428571,93.43299294736842,Win,/root/autodl-tmp/RoPINN-main-3/results/1dreaction_PINN_ResFF_region_metrics_table1rw_reaction_pinn_s0_i1000.csv,0.0015,0.063,0.064,0.0004467952,0.0087950775,0.0091729702,70.21365333333334,86.03955952380953,85.66723406250001,Win,/root/autodl-tmp/RoPINN-main-3/results/1dwave_PINN_ResFF_region_metrics_table1rw_wave_pinn_s0_i1000.csv,Win
QRes,0,1000,table1rw,9e-06,0.007,0.013,8.267e-07,0.0082034519,0.0237028113,90.81444444444445,-17.192170000000004,-82.32931769230771,Fail,/root/autodl-tmp/RoPINN-main-3/results/1dreaction_QRes_FF_region_metrics_table1rw_reaction_qres_s0_i1000.csv,0.017,0.309,0.321,4.34672e-05,0.0059368718,0.0058095603,99.74431058823528,98.07868226537217,98.19016813084112,Win,/root/autodl-tmp/RoPINN-main-3/results/1dwave_QRes_FF_region_metrics_table1rw_wave_qres_s0_i1000.csv,Fail
FLS,0,1000,table1rw,2.2e-05,0.022,0.039,1.177e-06,0.0051070791,0.0126298895,94.65,76.78600409090907,67.61566794871796,Win,/root/autodl-tmp/RoPINN-main-3/results/1dreaction_FLS_FF_region_metrics_table1rw_reaction_fls_s0_i1000.csv,0.00015,0.016,0.017,0.0002006817,0.0087112746,0.0087812664,-33.787800000000004,45.55453375,48.34549176470589,Win,/root/autodl-tmp/RoPINN-main-3/results/1dwave_FLS_FF_region_metrics_table1rw_wave_fls_s0_i1000.csv,Win
